idInmueble;urlInmueble;fuenteInfo;tipoInmueble;tipoOperacion;precio;habitaciones;tamano;planta;distrito;ciudad;fecha;eficienciaEnergetica;ascensor;terraza;trastero;garaje;balcon;aireAcondicinado;piscina;banos
158242180;https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/ascensor/158242180/d;fotocasa;0;1;219000;1;69;0;arganzuela;madrid-capital;06/01/2021;C;True;False;False;No-detallado;False;False;False;1
157289808;https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-zona-comunitaria-ascensor/157289808/d;fotocasa;0;1;528000;3;124;4;arganzuela;madrid-capital;06/01/2021;C;True;False;False;Privado;False;True;False;2
155960176;https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/jardin/155960176/d;fotocasa;0;1;380000;3;85;0;arganzuela;madrid-capital;06/01/2021;C;False;False;False;No-detallado;False;False;False;1
151852644;https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-trastero-zona-comunitaria-ascensor/151852644/d;fotocasa;0;1;500000;4;150;1;arganzuela;madrid-capital;06/01/2021;C;True;False;True;Privado;False;True;False;2
156731434;https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor/156731434/d;fotocasa;0;1;335000;4;100;2;arganzuela;madrid-capital;06/01/2021;C;True;False;False;No-detallado;False;False;False;1
158282264;https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/imperial/158282264/d;fotocasa;0;1;207000;22;63;0;arganzuela;madrid-capital;06/01/2021;C;False;False;False;No-detallado;False;False;False;1
158348957;https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/ascensor/158348957/d;fotocasa;0;1;258000;1;78;0;arganzuela;madrid-capital;06/01/2021;C;True;False;False;No-detallado;False;False;False;2
157942158;https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/terraza/157942158/d;fotocasa;0;1;255000;2;52;0;arganzuela;madrid-capital;06/01/2021;C;False;True;False;No-detallado;False;False;False;2
158348810;https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-no-amueblado/158348810/d;fotocasa;0;1;230000;2;69;5;arganzuela;madrid-capital;06/01/2021;C;True;False;False;No-detallado;False;True;False;1
158383371;https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor-no-amueblado/158383371/d;fotocasa;0;1;269500;3;70;3;arganzuela;madrid-capital;06/01/2021;C;True;True;False;No-detallado;False;True;False;1
158394775;https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/ascensor/158394775/d;fotocasa;0;1;169000;2;45;4;arganzuela;madrid-capital;06/01/2021;C;True;False;False;No-detallado;False;False;False;1
157977581;https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-trastero-no-amueblado/157977581/d;fotocasa;0;1;490000;3;130;4;arganzuela;madrid-capital;06/01/2021;C;False;False;True;Privado;False;True;False;2
153646191;https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-ascensor/153646191/d;fotocasa;0;1;210000;2;57;3;arganzuela;madrid-capital;06/01/2021;C;True;False;False;No-detallado;False;True;False;1
