tipoInmueble;tipoOperacion;precio;habitaciones;tamano;planta;distrito;ciudad;eficienciaEnergetica;ascensor;terraza;trastero;garaje;balcon;aireAcondicinado;piscina;banos
0;1;219000;1;69;0;arganzuela;madrid-capital;C;True;False;False;No-detallado;False;False;False;1
0;1;528000;3;124;4;arganzuela;madrid-capital;C;True;False;False;Privado;False;True;False;2
0;1;380000;3;85;0;arganzuela;madrid-capital;C;False;False;False;No-detallado;False;False;False;1
0;1;500000;4;150;1;arganzuela;madrid-capital;C;True;False;True;Privado;False;True;False;2
0;1;335000;4;100;2;arganzuela;madrid-capital;C;True;False;False;No-detallado;False;False;False;1
0;1;207000;22;63;0;arganzuela;madrid-capital;C;False;False;False;No-detallado;False;False;False;1
0;1;258000;1;78;0;arganzuela;madrid-capital;C;True;False;False;No-detallado;False;False;False;2
0;1;255000;2;52;0;arganzuela;madrid-capital;C;False;True;False;No-detallado;False;False;False;2
0;1;230000;2;69;5;arganzuela;madrid-capital;C;True;False;False;No-detallado;False;True;False;1
0;1;269500;3;70;3;arganzuela;madrid-capital;C;True;True;False;No-detallado;False;True;False;1
0;1;169000;2;45;4;arganzuela;madrid-capital;C;True;False;False;No-detallado;False;False;False;1
0;1;490000;3;130;4;arganzuela;madrid-capital;C;False;False;True;Privado;False;True;False;2
0;1;210000;2;57;3;arganzuela;madrid-capital;C;True;False;False;No-detallado;False;True;False;1
0;1;299900;3;84;3;arganzuela;madrid-capital;C;False;False;True;Comunitario;True;False;False;1
0;1;320000;2;74;1;arganzuela;madrid-capital;C;True;True;False;No-detallado;False;False;False;1
0;1;570000;2;86;8;arganzuela;madrid-capital;C;True;True;True;Privado;False;True;True;2
0;1;245000;2;55;0;arganzuela;madrid-capital;C;True;False;False;No-detallado;False;True;True;2
0;1;480000;3;114;0;arganzuela;madrid-capital;C;True;False;False;No-detallado;False;True;False;2
0;1;155000;2;46;2;arganzuela;madrid-capital;C;False;False;False;No-detallado;False;False;False;1
0;1;190000;1;38;0;arganzuela;madrid-capital;C;False;False;False;No-detallado;False;True;False;1
0;1;210000;2;64;5;arganzuela;madrid-capital;C;True;False;False;No-detallado;False;False;False;1
0;1;297000;2;76;4;arganzuela;madrid-capital;C;True;False;False;No-detallado;True;True;False;1
0;1;365000;3;90;4;arganzuela;madrid-capital;C;True;False;False;No-detallado;False;True;False;2
0;1;537000;2;120;1;arganzuela;madrid-capital;C;True;False;True;Comunitario;False;True;True;2
0;1;295000;1;83;3;arganzuela;madrid-capital;C;True;False;False;No-detallado;False;False;False;1
0;1;565000;3;194;0;arganzuela;madrid-capital;C;True;True;True;Privado;False;True;True;2
0;1;659000;6;302;0;arganzuela;madrid-capital;C;False;False;False;Privado;False;True;False;5
0;1;247000;1;49;0;arganzuela;madrid-capital;C;True;False;False;No-detallado;False;False;False;1
0;1;477000;5;140;0;arganzuela;madrid-capital;C;True;True;False;No-detallado;False;False;False;2
0;1;168000;1;52;0;arganzuela;madrid-capital;C;False;False;False;No-detallado;False;False;False;1
0;1;168000;1;52;0;arganzuela;madrid-capital;C;False;False;False;No-detallado;False;False;False;1
0;1;487800;3;111;0;arganzuela;madrid-capital;C;True;True;False;No-detallado;False;False;False;2
0;1;302000;2;63;0;arganzuela;madrid-capital;C;False;False;False;No-detallado;False;False;False;1
0;1;180000;2;40;1;arganzuela;madrid-capital;C;False;False;False;No-detallado;False;False;False;1
0;1;425000;4;105;2;arganzuela;madrid-capital;C;True;True;False;No-detallado;False;False;False;2
0;1;380000;2;103;6;arganzuela;madrid-capital;C;True;True;False;No-detallado;False;True;False;1
0;1;525000;3;115;1;arganzuela;madrid-capital;C;False;False;False;No-detallado;False;False;False;2
0;1;207000;22;63;0;arganzuela;madrid-capital;C;False;False;False;No-detallado;False;False;False;1
0;1;219000;1;69;0;arganzuela;madrid-capital;C;True;False;False;No-detallado;False;False;False;1
0;1;234900;1;75;1;arganzuela;madrid-capital;C;False;False;False;No-detallado;False;True;False;2
0;1;289000;2;62;1;arganzuela;madrid-capital;C;False;False;False;No-detallado;False;False;False;1
0;1;549000;3;125;0;arganzuela;madrid-capital;C;True;True;False;Privado;False;False;True;2
0;1;155000;1;32;0;arganzuela;madrid-capital;C;True;False;False;No-detallado;False;False;False;1
0;1;270000;2;74;2;arganzuela;madrid-capital;C;True;False;False;No-detallado;False;True;False;2
0;1;478000;3;111;7;arganzuela;madrid-capital;C;True;True;False;No-detallado;True;True;False;2
0;1;169000;2;45;4;arganzuela;madrid-capital;C;True;False;False;No-detallado;False;False;False;1
0;1;265000;3;70;4;arganzuela;madrid-capital;C;True;False;False;No-detallado;False;False;False;1
0;1;269000;2;60;2;arganzuela;madrid-capital;C;True;False;False;No-detallado;True;True;False;1
0;1;455000;5;120;1;arganzuela;madrid-capital;C;True;False;False;No-detallado;False;True;False;2
0;1;212000;2;43;2;arganzuela;madrid-capital;C;True;False;False;No-detallado;False;True;False;1
0;1;334000;3;107;3;arganzuela;madrid-capital;C;True;False;False;Privado;False;True;False;2
0;1;139000;1;40;0;arganzuela;madrid-capital;C;True;False;False;No-detallado;False;False;False;1
0;1;251500;2;72;0;arganzuela;madrid-capital;C;True;False;False;No-detallado;False;False;False;3
0;1;216990;1;39;1;arganzuela;madrid-capital;A;True;False;False;No-detallado;False;False;False;1
0;1;430000;4;122;3;barajas;madrid-capital;C;True;True;True;Privado;False;True;False;2
0;1;180000;2;81;0;barajas;madrid-capital;C;False;False;False;No-detallado;False;True;False;1
